path,text,label_encoded
YAF_angry/YAF_time_angry.wav,say the word time,0
OAF_Sad/OAF_jug_sad.wav,say the word jug,6
YAF_neutral/YAF_wash_neutral.wav,say the word wash,4
OAF_neutral/OAF_pole_neutral.wav,say the word pole,4
OAF_angry/OAF_pike_angry.wav,say the word pike,0
YAF_fear/YAF_pass_fear.wav,say the word pass,2
OAF_neutral/OAF_note_neutral.wav,say the word note,4
OAF_Fear/OAF_king_fear.wav,say the word king,2
OAF_Fear/OAF_make_fear.wav,say the word make,2
YAF_disgust/YAF_dab_disgust.wav,say the word dab,1
YAF_pleasant_surprised/YAF_nag_ps.wav,say the word nag,5
YAF_angry/YAF_chat_angry.wav,say the word chat,0
OAF_happy/OAF_yearn_happy.wav,say the word yearn,3
YAF_disgust/YAF_luck_disgust.wav,say the word luck,1
YAF_neutral/YAF_bean_neutral.wav,say the word bean,4
YAF_sad/YAF_laud_sad.wav,say the word laud,6
OAF_Pleasant_surprise/OAF_name_ps.wav,say the word name,5
YAF_disgust/YAF_lease_disgust.wav,say the word lease,1
OAF_neutral/OAF_mop_neutral.wav,say the word mop,4
OAF_happy/OAF_lose_happy.wav,say the word lose,3
YAF_angry/YAF_neat_angry.wav,say the word neat,0
YAF_fear/YAF_page_fear.wav,say the word page,2
OAF_disgust/OAF_read_disgust.wav,say the word read,1
OAF_disgust/OAF_sure_disgust.wav,say the word sure,1
YAF_sad/YAF_shout_sad.wav,say the word shout,6
YAF_neutral/YAF_tire_neutral.wav,say the word tire,4
OAF_happy/OAF_lean_happy.wav,say the word lean,3
YAF_neutral/YAF_merge_neutral.wav,say the word merge,4
YAF_pleasant_surprised/YAF_germ_ps.wav,say the word germ,5
YAF_pleasant_surprised/YAF_whip_ps.wav,say the word whip,5
OAF_Sad/OAF_dodge_sad.wav,say the word dodge,6
OAF_angry/OAF_dead_angry.wav,say the word dead,0
YAF_sad/YAF_which_sad.wav,say the word which,6
YAF_angry/YAF_mood_angry.wav,say the word mood,0
YAF_happy/YAF_five_happy.wav,say the word five,3
OAF_Sad/OAF_vine_sad.wav,say the word vine,6
YAF_sad/YAF_kill_sad.wav,say the word kill,6
YAF_fear/YAF_have_fear.wav,say the word have,2
YAF_disgust/YAF_turn_disgust.wav,say the word turn,1
OAF_Fear/OAF_bar_fear.wav,say the word bar,2
OAF_angry/OAF_dip_angry.wav,say the word dip,0
OAF_disgust/OAF_gun_disgust.wav,say the word gun,1
OAF_Fear/OAF_raise_fear.wav,say the word raise,2
OAF_angry/OAF_tip_angry.wav,say the word tip,0
OAF_angry/OAF_room_angry.wav,say the word room,0
YAF_pleasant_surprised/YAF_gap_ps.wav,say the word gap,5
YAF_happy/YAF_pike_happy.wav,say the word pike,3
YAF_angry/YAF_gaze_angry.wav,say the word gaze,0
YAF_fear/YAF_walk_fear.wav,say the word walk,2
YAF_disgust/YAF_read_disgust.wav,say the word read,1
YAF_disgust/YAF_name_disgust.wav,say the word name,1
YAF_sad/YAF_lid_sad.wav,say the word lid,6
YAF_angry/YAF_base_angry.wav,say the word base,0
OAF_Pleasant_surprise/OAF_bean_ps.wav,say the word bean,5
YAF_fear/YAF_goal_fear.wav,say the word goal,2
YAF_disgust/YAF_jug_disgust.wav,say the word jug,1
OAF_disgust/OAF_mode_disgust.wav,say the word mode,1
YAF_happy/YAF_loaf_happy.wav,say the word loaf,3
OAF_neutral/OAF_kick_neutral.wav,say the word kick,4
OAF_neutral/OAF_mode_neutral.wav,say the word mode,4
YAF_fear/YAF_sure_fear.wav,say the word sure,2
YAF_fear/YAF_bought_fear.wav,say the word bought,2
OAF_Fear/OAF_loaf_fear.wav,say the word loaf,2
OAF_disgust/OAF_mop_disgust.wav,say the word mop,1
OAF_Pleasant_surprise/OAF_shout_ps.wav,say the word shout,5
OAF_Sad/OAF_rain_sad.wav,say the word rain,6
YAF_happy/YAF_thin_happy.wav,say the word thin,3
YAF_fear/YAF_tip_fear.wav,say the word tip,2
YAF_happy/YAF_chat_happy.wav,say the word chat,3
OAF_Fear/OAF_chair_fear.wav,say the word chair,2
OAF_angry/OAF_nag_angry.wav,say the word nag,0
OAF_Pleasant_surprise/OAF_red_ps.wav,say the word red,5
OAF_angry/OAF_hole_angry.wav,say the word hole,0
YAF_sad/YAF_vine_sad.wav,say the word vine,6
YAF_fear/YAF_date_fear.wav,say the word date,2
YAF_disgust/YAF_shirt_disgust.wav,say the word shirt,1
YAF_sad/YAF_whip_sad.wav,say the word whip,6
YAF_disgust/YAF_lose_disgust.wav,say the word lose,1
YAF_neutral/YAF_hate_neutral.wav,say the word hate,4
YAF_angry/YAF_tape_angry.wav,say the word tape,0
YAF_disgust/YAF_wire_disgust.wav,say the word wire,1
YAF_pleasant_surprised/YAF_hire_ps.wav,say the word hire,5
YAF_angry/YAF_raid_angry.wav,say the word raid,0
OAF_happy/OAF_rough_happy.wav,say the word rough,3
OAF_happy/OAF_death_happy.wav,say the word death,3
YAF_disgust/YAF_vine_disgust.wav,say the word vine,1
YAF_sad/YAF_long_sad.wav,say the word long,6
YAF_sad/YAF_burn_sad.wav,say the word burn,6
